DLsv,DLcv,DRcv,DRsv
16,17,74,69
9,10,84,81
76,80,13,12
52,55,30,28
25,27,112,109
5,5,133,129
2,3,83,79
5,6,68,65
3,3,67,64
21,25,45,41
4,5,149,145
9,10,65,62
104,109,83,80
5,5,189,185
140,144,50,46
4,5,103,99
68,71,37,34
9,10,98,95
49,52,83,80
8,9,126,122
35,38,56,52
81,85,9,7
58,61,33,30
4,5,21,19
61,65,87,82
67,70,14,13
21,23,77,72
3,4,49,46
4,5,135,131
68,70,38,37
27,30,59,55
4,4,85,82
92,95,55,53
101,104,45,43
38,40,109,105
5,6,112,109
127,131,29,28
9,10,151,148
48,51,109,105
51,55,76,72
72,74,57,55
13,16,144,140
44,48,112,108
81,84,62,59
27,30,62,59
5,5,92,89
67,70,65,61
86,90,45,43
96,99,24,22
23,25,67,63
4,5,84,81
6,7,42,39
22,24,49,45
60,64,9,8
22,25,110,106
7,8,57,55
96,101,1,6
7,9,132,128
83,87,54,50
6,6,136,133
81,84,58,55
34,37,5,5
9,10,22,20
21,23,10,9
52,53,81,77
40,42,93,90
10,11,82,79
5,5,87,84
72,75,46,43
44,47,50,46
9,10,162,158
10,11,58,54
10,12,115,112
23,26,27,25
6,7,90,86
7,8,28,25
6,7,66,62
7,8,68,64
8,9,104,101
26,29,56,54
84,86,72,70
52,55,79,77
39,42,123,119
91,95,70,67
71,74,92,90
21,22,124,121
5,5,140,137
24,27,109,105
96,100,36,32
116,120,16,13
10,12,120,116
69,72,60,56
104,108,24,22
29,32,55,52
5,5,92,89
36,38,86,83
86,89,35,32
10,12,48,45
42,44,152,149
95,98,98,95
182,185,11,9
45,48,73,69
100,104,62,58
37,41,113,109
6,8,69,66
56,59,18,17
26,30,47,44
6,7,128,124
50,54,81,78
24,27,110,106
49,53,84,80
83,87,50,47
95,99,25,23
83,86,39,36
109,113,11,9
5,5,119,115
41,45,79,75
98,102,46,42
121,125,23,21
5,5,143,139
4,5,42,39
28,31,54,48
78,84,1,6
7,8,68,64
11,12,64,61
5,6,71,68
41,44,34,31
23,26,45,41
41,45,26,24
4,5,66,63
7,8,126,122
44,47,87,83
6,8,97,93
66,70,35,33
6,8,84,82
20,22,70,67
47,51,53,49
4,5,36,32
32,36,5,4
4,5,135,131
14,17,36,34
26,29,24,21
73,77,64,60
4,5,136,133
11,12,68,66
28,29,123,121
5,5,146,142
130,134,17,16
53,57,77,73
7,9,126,123
14,17,56,52
41,45,28,26
31,35,127,123
89,93,69,65
123,127,35,32
74,78,43,41
4,5,56,53
18,20,41,39
4,5,168,164
134,138,35,32
16,19,149,145
77,81,86,82
38,40,128,124
72,76,92,88
117,121,47,44
6,7,107,103
24,28,83,80
80,84,52,49
59,61,75,72
69,73,77,73
86,89,84,80
9,10,156,152
47,51,52,48
4,3,129,125
117,120,12,11
120,126,45,41
109,111,62,59
18,20,154,151
47,50,73,70
30,34,105,101
120,123,16,15
123,127,33,29
141,145,15,14
30,33,42,39
14,18,81,77
50,53,65,62
17,18,91,85
77,80,31,29
6,7,54,51
73,76,34,30
89,93,17,16
17,19,91,87
27,29,32,30
7,8,56,52
46,50,14,13
4,5,56,52
46,50,11,10
4,5,86,82
30,34,57,53
4,5,105,101
6,7,108,105
30,33,36,34
5,5,197,193
5,5,153,149
7,8,70,67
7,8,100,97
7,8,70,67
21,23,53,50
7,8,77,73
26,28,57,53
53,57,28,26
75,78,6,5
7,8,65,61
21,22,51,48
5,5,83,80
7,8,46,44
51,55,99,95
5,5,149,145
7,8,66,64
43,45,29,27
21,23,69,66
37,39,31,29
7,8,48,45
58,61,73,69
32,36,98,94
89,93,40,37
32,36,99,95
85,88,47,44
35,39,69,65
64,68,36,33
79,82,22,20
40,44,58,54
5,6,88,84
77,80,14,12
5,6,49,47
8,9,89,85
57,61,36,33
8,9,92,88
30,33,68,64
59,63,38,35
54,57,15,13
16,18,55,52
6,7,37,33
6,7,68,65
103,107,44,41
115,118,33,31
5,6,164,160
110,114,56,52
62,65,91,87
98,101,55,52
7,8,148,144
74,78,78,75
6,7,87,83
18,19,74,69
40,45,48,45
37,41,53,50
6,7,113,109
75,78,42,39
28,31,28,27
25,29,31,28
46,49,63,59
24,26,87,84
5,5,107,103
4,0,99,95
33,35,64,60
86,90,9,8
7,8,116,112
30,33,91,87
66,70,54,51
4,5,34,31
34,36,3,3
4,5,63,60
29,32,36,33
32,35,117,113
101,106,44,40
4,5,117,113
33,37,85,81
19,20,102,98
50,54,68,65
38,41,141,137
53,57,125,121
7,8,42,39
162,166,25,24
115,118,74,71
20,22,120,117
88,91,50,46
129,133,8,8
5,5,137,133
30,33,61,58
29,32,94,89
9,10,75,71
2,3,99,95
25,28,17,15
