28	say_1_said|behold_1_behold|have_1_have|give_1_given|bear_1_bearing|be_3_is@be|yield_1_yielding|shall_1_shall	and|god|said|,|behold|,|i|have|given|you|every|herb|bearing|seed|,|which|is|upon|the|face|of|all|the|earth|,|and|every|tree|,|in|the|which|is|the|fruit|of|a|tree|yielding|seed|;|to|you|it|shall|be|for|meat|.
29	creepeth_1_creepeth|be_2_is@was|have_1_have|give_1_given	and|to|every|beast|of|the|earth|,|and|to|every|fowl|of|the|air|,|and|to|every|thing|that|creepeth|upon|the|earth|,|wherein|there|is|life|,|i|have|given|every|green|herb|for|meat|:|and|it|was|so|.
30	see_1_saw|have_1_had|make_1_made|behold_1_behold|be_2_was@were	and|god|saw|every|thing|that|he|had|made|,|and|,|behold|,|it|was|very|good.|and|the|evening|and|the|morning|were|the|sixth|day|.
31	be_1_were|finish_1_finished	thus|the|heavens|and|the|earth|were|finished|,|and|all|the|host|of|them|.
32	end_1_ended|have_2_had|make_2_made|rest_1_rested	and|on|the|seventh|day|god|ended|his|work|which|he|had|made|;|and|he|rested|on|the|seventh|day|from|all|his|work|which|he|had|made|.
33	bless_1_blessed|sanctify_1_sanctified|have_1_had|rest_1_rested|create_1_created|make_1_made	and|god|blessed|the|seventh|day|,|and|sanctified|it|:|because|that|in|it|he|had|rested|from|all|his|work|which|god|created|and|made|.
34	be_2_are@were|create_1_created|make_1_made	these|are|the|generations|of|the|heavens|and|of|the|earth|when|they|were|created|,|in|the|day|that|the|lord|god|made|the|earth|and|the|heavens|,
35	be_2_was|grow_1_grew|have_1_had|cause_1_caused|rain_1_rain	and|every|plant|of|the|field|before|it|was|in|the|earth|,|and|every|herb|of|the|field|before|it|grew|:|for|the|lord|god|had|not|caused|it|to|rain|upon|the|earth|,|and|there|was|not|a|man|to|till|the|ground|.
36	go_1_went|water_1_watered	but|there|went|up|a|mist|from|the|earth|,|and|watered|the|whole|face|of|the|ground|.
37	form_1_formed|breathe_1_breathed|become_1_became|live_1_living	and|the|lord|god|formed|man|of|the|dust|of|the|ground|,|and|breathed|into|his|nostrils|the|breath|of|life|;|and|man|became|a|living|soul|.
38	plant_1_planted|put_1_put|have_1_had|form_1_formed	and|the|lord|god|planted|a|garden|eastward|in|eden|;|and|there|he|put|the|man|whom|he|had|formed|.
39	make_1_made|grow_1_grow|be_1_is	and|out|of|the|ground|made|the|lord|god|to|grow|every|tree|that|is|pleasant|to|the|sight|,|and|good|for|food|;|the|tree|of|life|also|in|the|midst|of|the|garden|,|and|the|tree|of|knowledge|of|good|and|evil|.
40	go_1_went|water_1_water|be_1_was|part_1_parted|become_1_became	and|a|river|went|out|of|eden|to|water|the|garden|;|and|from|thence|it|was|parted|,|and|became|into|four|heads|.
41	be_3_is|compasseth_1_compasseth	the|name|of|the|first|is|pison|:|that|is|it|which|compasseth|the|whole|land|of|havilah|,|where|there|is|gold|;
42	be_2_is	and|the|gold|of|that|land|is|good|:|there|is|bdellium|and|the|onyx|stone|.
43	be_2_is	and|the|name|of|the|second|river|is|gihon|:|the|same|is|it|that|compasseth|the|whole|land|of|ethiopia|.
44	be_3_is|goeth_1_goeth	and|the|name|of|the|third|river|is|hiddekel|:|that|is|it|which|goeth|toward|the|east|of|assyria.|and|the|fourth|river|is|euphrates|.
45	take_1_took|put_1_put|dress_1_dress|keep_1_keep	and|the|lord|god|took|the|man|,|and|put|him|into|the|garden|of|eden|to|dress|it|and|to|keep|it|.
46	command_1_commanded|say_1_saying|eat_1_eat	and|the|lord|god|commanded|the|man|,|saying|,|of|every|tree|of|the|garden|thou|mayest|freely|eat|:
47	shalt_2_shalt|eat_1_eat|thou_2_thou|die_1_die	but|of|the|tree|of|the|knowledge|of|good|and|evil|,|thou|shalt|not|eat|of|it|:|for|in|the|day|that|thou|eatest|thereof|thou|shalt|surely|die|.
48	say_1_said|be_2_is@be|should_1_should|will_1_will|make_1_make|meet_1_meet	and|the|lord|god|said|,|it|is|not|good|that|the|man|should|be|alone|;|i|will|make|him|an|help|meet|for|him|.
49	form_1_formed|bring_1_brought|see_1_see|would_1_would|call_2_call@called|live_1_living|be_1_was	and|out|of|the|ground|the|lord|god|formed|every|beast|of|the|field|,|and|every|fowl|of|the|air|;|and|brought|them|unto|adam|to|see|what|he|would|call|them|:|and|whatsoever|adam|called|every|living|creature|,|that|was|the|name|thereof|.
